,hawkish,dovish
1998-01-01,,
1998-02-01,,
1998-03-01,,
1998-04-01,,
1998-05-01,,
1998-06-01,,
1998-07-01,,
1998-08-01,,
1998-09-01,,
1998-10-01,,
1998-11-01,,
1998-12-01,,
1999-01-01,,
1999-02-01,,
1999-03-01,,
1999-04-01,,
1999-05-01,,
1999-06-01,,
1999-07-01,,
1999-08-01,,
1999-09-01,,
1999-10-01,,
1999-11-01,,
1999-12-01,,
2000-01-01,,
2000-02-01,,
2000-03-01,,
2000-04-01,,
2000-05-01,,
2000-06-01,,
2000-07-01,,
2000-08-01,,
2000-09-01,,
2000-10-01,,
2000-11-01,,
2000-12-01,0.026729649831302098,0.023869449250271076
2001-01-01,-0.016865608497525504,-0.020850770657981493
2001-02-01,-0.029839938096013645,-0.04938724516100817
2001-03-01,-0.013158094261361324,-0.029448930546038456
2001-04-01,-0.02809345614918723,-0.02919121569437939
2001-05-01,-0.03279505559659905,-0.02548857547814083
2001-06-01,-0.016090135571226346,-0.0367945458941729
2001-07-01,-0.005889585357476677,0.006123158053811283
2001-08-01,0.004928308411673775,0.00891580964792716
2001-09-01,0.01391721718868574,0.006576133773889144
2001-10-01,0.014362699395935596,-0.042483065681314304
2001-11-01,0.014178792519513596,-0.035143088118130196
2001-12-01,0.015990247204321083,-0.05068281671541283
2002-01-01,0.015994259041728267,-0.055772241993952976
2002-02-01,0.016477600599210048,-0.04731623483343905
2002-03-01,0.016421957789602225,-0.05359729527432259
2002-04-01,0.013984144725748656,-0.05378533560797319
2002-05-01,0.01404684355037529,-0.05337592582761499
2002-06-01,0.0134207799388133,-0.059763338962495104
2002-07-01,0.0134207799388133,-0.05854168447913724
2002-08-01,0.0134207799388133,-0.05348023068753596
2002-09-01,0.0134207799388133,-0.057527963016614926
2002-10-01,0.0134207799388133,-0.056332787284363625
2002-11-01,0.0134207799388133,-0.03339443572467308
2002-12-01,0.0134207799388133,-0.05264508050300702
2003-01-01,0.0134207799388133,-0.07225872855625703
2003-02-01,-0.009477276258293818,-0.07159255758666688
2003-03-01,0.006882307248627298,-0.06905073537731882
2003-04-01,0.033957250504466574,-0.03709974683838672
2003-05-01,0.05021707343241487,-0.03424777392468351
2003-06-01,0.019664212329118507,-0.031345878676794434
2003-07-01,0.016650505390881816,-0.04074833376137632
2003-08-01,0.012998310594844667,-0.04079236560245661
2003-09-01,0.04775295978277723,-0.0406675535932745
2003-10-01,0.08349423347895983,-0.0406020280601221
2003-11-01,-4.748784689472891,-0.050221208200771174
2003-12-01,-4.690856894760871,-0.06012474715309357
2004-01-01,-4.572508445330977,-0.028127174168712427
2004-02-01,-4.600887184470471,-0.00913293798967267
2004-03-01,0.04449120882553403,-0.015192490397041876
2004-04-01,0.0458012530232294,-0.015459017793125694
2004-05-01,0.04396228362400608,-0.016961647030408027
2004-06-01,0.14165655518520012,-0.0035973905530162003
2004-07-01,0.05966377894535349,-0.0064429189900388345
2004-08-01,0.05698280969192785,-0.010491476132853098
2004-09-01,0.06306305761602021,-0.005514985461304101
2004-10-01,0.06392411235694559,0.0019919578061313374
2004-11-01,0.0537653807529571,4.6698130492459854e-05
2004-12-01,0.057467217632433926,-0.023177736400843175
2005-01-01,0.0567476367238274,-0.015737336200748277
2005-02-01,0.027350234440634655,-0.026124890069175292
2005-03-01,0.05726765266370926,-0.014492312258012164
2005-04-01,0.06054083970714535,-0.008381091042195029
2005-05-01,0.07874720934333912,0.01414942472193756
2005-06-01,0.08360990332549943,0.004143796227898596
2005-07-01,0.09043848033440384,-0.013900961637502084
2005-08-01,0.09042931698485818,-0.019203710429720754
2005-09-01,0.06355677620236855,-0.01378307288652117
2005-10-01,0.06346430677529123,-0.0147039776665268
2005-11-01,-0.003255490286175164,-0.040264181343615764
2005-12-01,0.013493961296571731,-0.0364665103450236
2006-01-01,0.016414579546770263,0.006629198718699375
2006-02-01,0.01301045396876964,0.005336220167251684
2006-03-01,0.011478684008819717,-0.0001418660542122076
2006-04-01,0.01260188706017084,-0.040005741275155944
2006-05-01,0.01078907740275388,-0.04498183617938066
2006-06-01,0.010763791668286065,-0.05176291018890946
2006-07-01,0.012833592074413314,-0.05171619176955846
2006-08-01,0.007979197989121908,-0.051707319889784616
2006-09-01,0.025001334646390816,-0.05113406152244028
2006-10-01,0.02436625330638322,-0.050773856336289516
2006-11-01,0.023658985332174712,-0.03241539811578957
2006-12-01,0.024820573803292348,0.0064322660537151815
2007-01-01,0.023079395895505884,0.045911631303393305
2007-02-01,0.04940137880464406,0.10777353252009172
2007-03-01,0.04708003939142169,0.04209550638718674
2007-04-01,0.058106394330426296,0.042111285569273835
2007-05-01,0.058121968867581815,0.03797218895757178
2007-06-01,0.035969532257946114,0.0668897249113323
2007-07-01,0.058003094768606184,0.05081847128570725
2007-08-01,0.06001150697017556,0.04088320827842189
2007-09-01,0.05702992551227692,0.03868444676421217
2007-10-01,0.05756557927474051,0.03176105151625424
2007-11-01,0.04842746015184494,0.034196339904417575
2007-12-01,0.04684030947038988,0.03825819172146082
2008-01-01,0.04733124569297515,0.026375090746601073
2008-02-01,0.06452603404858202,0.026871769522884687
2008-03-01,0.04618055463964887,0.03174132904348137
2008-04-01,0.04318908957703709,0.02982874764269852
2008-05-01,0.02618992876407809,0.013740633316536103
2008-06-01,0.011955644661682807,0.026297610909971056
2008-07-01,0.0037971811233040117,0.04462942101651052
2008-08-01,0.003503024330943389,0.046877310324148935
2008-09-01,0.03433773194673823,0.05589967206834105
2008-10-01,-0.08346648682732977,0.03125488371379194
