,FED Funds Rate,CPI,PPI,GDP,Unemployment,Nonfarm Payrolls
PC1,0.6132316262627745,0.11308573436736824,0.20709651043894234,0.17421607504184403,-0.5547799000540606,0.4797266370452445
PC2,-0.3118280326049053,0.349696127421934,0.8699996605968304,0.13267745766860234,0.07413193640039295,-0.021854869969448854
PC3,0.7163159772631849,-0.05668487513756404,0.2515600275702169,-0.13168723446661368,0.42484050204499435,-0.4717677588365827
PC4,0.10534009920197138,0.35682614287987235,-0.2154371797224717,0.43611931549641364,0.6431792179147064,0.45965837873836946
PC5,0.020509738627485886,0.4209732709412634,-0.2398867833140207,0.5831759216801087,-0.2987670318438033,-0.5791884771138817
PC6,0.04565616576002885,0.7464366476733448,-0.18157734230559916,-0.6359321589019084,-0.05738484686362999,0.008647712084889125
