date,PC1,PC2,PC3,PC4,PC5,PC6
1996-12-01,0.1033744150600111,1.038964187897827,0.047573376309810844,0.21842493206596414,-0.7359651636177215,-0.1945569982427727
1997-01-01,0.2855669459797039,1.4222478204266276,-0.39259094840544595,0.05681977670149885,-0.39326203425924766,-0.31184121364805156
1997-02-01,-0.34399401280856057,0.5474394927774356,-1.64994711666939,-0.03530707532616795,-0.05823671073790748,0.17421724440758257
1997-03-01,1.1288647205532647,-2.0399559284667967,0.19184469404404442,0.7690684857115306,0.32053825128017444,0.7292880051296439
1997-04-01,1.7613576279528727,-2.445933432565145,0.26174617911371595,0.8445838475159431,0.8112128866080361,0.3354771308130638
1997-05-01,1.9001800538667966,-1.8544025153515176,-0.2850512825972874,-0.16320955510180257,0.5843539792329087,0.2254991705598472
1997-06-01,1.3670233852113443,-1.9266309323860993,0.12654658962663135,0.30519218965026584,0.2520086133243493,0.3186939329233149
1997-07-01,1.2967068027882642,-1.8642149534799164,-0.46769152778339707,0.2707353865297504,0.6551769892598627,0.059952441605387805
1997-08-01,1.2779729490909686,-1.4344186941341261,-0.3122114203303161,-0.13799372398055543,0.6067888684539289,0.25976908212018557
1997-09-01,0.970320863079313,-0.9406433656794175,-0.1410657511833735,0.28447850780446493,0.13803613791137792,0.39965078547980715
1997-10-01,1.183005673021773,-0.4688986834033536,-0.6464001329724942,-0.010298722668096394,0.3829172782532979,0.2617894892957279
1997-11-01,1.189710024062994,-0.5016465695373107,-0.5646492431026056,-0.3053038965652659,0.10242693346497034,0.16271109739249945
1997-12-01,0.43063032395440315,-1.4728097319348277,-0.7663698754274813,0.07877422996646666,-0.03855013896860837,0.18313375905542756
1998-01-01,0.570953956510635,-2.7622954500219743,-1.00830015278756,0.49056226884580423,0.7127172171564313,0.46185481546013274
1998-02-01,0.008852652502006286,-2.244113374141154,-1.3821585711332995,0.4245305109966755,0.5888761196772136,0.6444771725663042
1998-03-01,-1.0682531423572432,-1.4975957743559278,-1.869851254427236,0.5672353736433318,0.343209107617215,0.639927200606762
1998-04-01,-0.4385313654068087,-0.8710279902780881,-3.1030074897792606,-0.4904928203684127,0.9534197568484919,0.3887350285825932
1998-05-01,-0.0004108904529134261,-0.9166058440906003,-1.7457602495807205,0.08257654857227248,0.48347430634850763,0.5273287728157472
1998-06-01,0.9400130781248182,-1.6182792125100047,0.11058887465933886,0.6300848937214516,0.2944427913772776,0.6364800299413418
1998-07-01,0.5485653493612439,-1.119116181147632,-0.3086484147166124,0.8138143207208248,0.6183240064663167,0.11983680261975398
1998-08-01,0.5699909384999167,-1.5223841032700398,-0.16321196951456396,0.8804122599516104,0.3762274845704845,0.3713706338186616
