,FED Funds Rate,CPI,PPI,GDP,Unemployment,Nonfarm Payrolls,Explained Variance
PC1,61.32316262627745,11.308573436736824,20.709651043894233,17.421607504184404,-55.47799000540606,47.97266370452445,48.596854127226656
PC2,-31.182803260490534,34.9696127421934,86.99996605968305,13.267745766860234,7.413193640039295,-2.1854869969448854,23.163395553065893
PC3,71.63159772631849,-5.6684875137564035,25.15600275702169,-13.168723446661367,42.48405020449943,-47.176775883658266,15.381672950842216
PC4,10.534009920197137,35.682614287987235,-21.54371797224717,43.61193154964136,64.31792179147064,45.965837873836946,6.211933966422774
PC5,2.0509738627485885,42.09732709412634,-23.98867833140207,58.31759216801087,-29.876703184380332,-57.91884771138817,3.9757238188877366
PC6,4.565616576002885,74.64366476733449,-18.157734230559917,-63.593215890190834,-5.738484686362999,0.8647712084889125,2.6704195835547213
