,Inflation Index,hawkish,dovish
Inflation Index,1.0,0.0026180550843367995,-0.025929496366581095
hawkish,0.0026180550843367995,1.0,0.09820177937643519
dovish,-0.025929496366581095,0.09820177937643519,1.0
