,Macro Index,hawkish,dovish
1998-01-01,0.14032363255623181,-3.4641016151377544,0.0
1998-02-01,-0.5621013040086287,2.4295472310390016,1.906777199165227
1998-03-01,-1.0771057948592495,-2.5690465157330262,-2.03100960115899
1998-04-01,0.6297217769504345,2.0864868144665376,0.0
1998-05-01,0.4381204749538953,-2.2110831935702664,0.0
1998-06-01,0.9404239685777316,1.906777199165227,2.901862746515029
1998-07-01,-0.39144772876357425,-2.03100960115899,-2.9664793948382653
1998-08-01,0.021425589138672763,1.8098462315840917,0.11838788619797858
1998-09-01,-1.2374054769982974,-1.942016624910449,0.0
1998-10-01,-1.2525753970831752,0.0,2.503581474095614
1998-11-01,0.516856168920012,0.0,-0.3068639864458653
1998-12-01,-0.0028284150069071146,0.13217039332635705,-2.2213913296068157
1999-01-01,0.670893055723723,0.0,0.0
1999-02-01,-0.16490123125775147,0.1242324019937634,0.09513500607608805
1999-03-01,1.0462328768866223,0.0,0.0
1999-04-01,-0.10501603557629724,0.12459637910372895,0.0
1999-05-01,0.5126166046550265,0.0,0.0
1999-06-01,-0.36473476515072956,0.13949928469402478,1.2884097442311742
1999-07-01,0.6146763389002865,0.0,-1.2610953357233274
1999-08-01,0.6215583567287384,0.0,0.0
1999-09-01,0.669409951143447,0.0,0.0
1999-10-01,0.2635052838128762,0.0,0.12325655661479806
1999-11-01,-0.07478049506968887,0.0,2.543071929714109
1999-12-01,-0.34106435002422186,0.0,-2.5690465157330244
2000-01-01,-0.036039240004678064,0.0,0.0
2000-02-01,-0.24839309836574142,3.4641016151377544,0.0
2000-03-01,0.42834677270457533,-3.4641016151377544,0.0
2000-04-01,0.48749479500108217,2.4295472310390016,2.0864868144665367
2000-05-01,-0.8397290165144016,-2.5690465157330262,-0.3043059944050397
2000-06-01,-0.07093836921055541,2.0864868144665376,0.0
2000-07-01,-0.377491568091636,-0.3043059944050397,-2.0310096011589893
2000-08-01,-1.0174787465265136,-0.22116336957489846,0.0
2000-09-01,1.0271729305068522,-1.942016624910449,0.0
2000-10-01,-0.21416191585485178,2.9281622662520856,0.0
2000-11-01,-0.20889218976151191,-2.9915134200556217,0.12423240199376329
2000-12-01,-0.2147973343865326,0.0,1.9067771991652263
2001-01-01,-2.2027368984556976,0.0,-2.0310096011589893
2001-02-01,-0.7410293670548764,0.13090489880665668,1.8098462315840913
2001-03-01,-0.26087906589295695,0.0,-0.17541592344142365
2001-04-01,-0.4802399495184897,0.11838788619797846,0.0
2001-05-01,0.30003201287779646,0.0,-1.7666007014690246
2001-06-01,-0.6496000769973813,0.11146564679242887,3.6959249396608156
2001-07-01,-0.42797793978755294,0.10956648244923711,-1.2980846195090787
2001-08-01,-0.30250750470234244,0.113524698675109,-0.889653366805868
2001-09-01,-0.0444328104621281,0.0,-0.8305260870943548
2001-10-01,-0.28499854717577655,0.0,-0.07417561034068768
2001-11-01,0.10348108535298906,0.0,2.798862976614128
2001-12-01,0.06779109062189548,0.0,-2.5509853596636387
2002-01-01,0.6381482379345926,0.0,-1.0125426995670859
2002-02-01,0.37649352255597845,0.0,1.4344354910533714
2002-03-01,0.5065652770509708,0.0,-0.5497169544926817
2002-04-01,0.24582725415343543,0.0,-0.04505844168571585
2002-05-01,0.22483218676567862,0.0,-0.10317354939802795
2002-06-01,0.1939560722434024,0.0,-0.9033514916192121
2002-07-01,0.1812223022779793,0.0,0.17177917679699084
2002-08-01,0.38007872663408215,0.0,1.0532063888331629
2002-09-01,0.19927304342389518,0.0,-0.5266031944165814
2002-10-01,0.5499643780691226,0.0,0.48314043817778013
2002-11-01,-2.966354455208557,0.0,1.8513045182510952
2002-12-01,-0.40716556248145475,0.0,0.37957687489635994
2003-01-01,2.378034982900435,0.0,-2.9213786394533723
2003-02-01,-0.7109110463988153,0.0,0.09941427745773668
2003-03-01,-0.18761043172071812,0.0,1.6225661507485039
2003-04-01,-0.3641546068880057,0.0,-1.1225609997192547
2003-05-01,0.05599247506897864,0.0,-0.5059974234042643
2003-06-01,-0.10471733070423461,0.0,0.9907895937841333
2003-07-01,0.3132534057096974,0.0,-0.704382141977655
2003-08-01,0.46723371816403203,0.0,0.0
2003-09-01,0.34630506947311246,0.0,-0.6392720318066126
2003-10-01,0.9277484967227214,0.0,0.07969921703659544
2003-11-01,0.7987197069452752,0.0,1.311440317583718
2003-12-01,0.3788017467679674,0.0,-1.2946777499402995
2004-01-01,0.7165060463617066,0.0,-0.7283683041617413
2004-02-01,0.11593858961168113,0.0,2.4678409026902277
2004-03-01,-0.3454706616697787,3.464101615137756,-1.6073022052021297
2004-04-01,0.4563637420499078,-0.36002764765349005,0.09144763678356005
2004-05-01,-0.11138509432042554,-0.8186645513275177,-0.7942437529089301
2004-06-01,0.9348303862667335,-1.3699511110339264,1.9653548801144707
2004-07-01,0.8981271260221009,1.505332766129034,-1.770064417301128
2004-08-01,-0.2796280490117944,-1.9702812179145055,1.0226741349558202
2004-09-01,-0.31805946735627266,-0.9710083124552245,-0.8378964279121012
2004-10-01,-0.24732626078370235,0.0,0.9228287507581281
2004-11-01,0.08814197021250081,1.766600701469025,-0.8120463568769393
2004-12-01,-0.3276210672073514,-0.14825351404365117,0.11199409734923105
2005-01-01,0.2333021088670164,-0.13217039332635694,0.0
2005-02-01,-0.34677278110209286,-2.0310096011589898,0.03533480671465161
2005-03-01,0.7523132742034102,1.9395619643754296,0.11838788619797858
2005-04-01,-0.04997881397518089,1.7365462564613492,1.4957567100278126
2005-05-01,-0.1052082764063802,-0.9559152063638474,-1.4957567100278126
