,hawkish,dovish
1996-01-01,,
1996-02-01,,
1996-03-01,,
1996-04-01,,
1996-05-01,,
1996-06-01,,
1996-07-01,,
1996-08-01,,
1996-09-01,,
1996-10-01,,
1996-11-01,,
1996-12-01,,
1997-01-01,,
1997-02-01,,
1997-03-01,,
1997-04-01,,
1997-05-01,,
1997-06-01,,
1997-07-01,,
1997-08-01,,3.1754264805429417
1997-09-01,,-0.28867513459481287
1997-10-01,,2.1408720964441885
1997-11-01,,1.6583123951777
1997-12-01,3.1754264805429417,-0.5527707983925666
1998-01-01,-0.28867513459481287,-0.5527707983925666
1998-02-01,2.1408720964441885,1.3540064007726602
1998-03-01,-0.42817441928883765,-0.67700320038633
1998-04-01,1.6583123951777,-0.67700320038633
1998-05-01,-0.5527707983925666,-0.67700320038633
1998-06-01,1.3540064007726602,2.224859546128699
1998-07-01,-0.67700320038633,-0.7416198487095663
1998-08-01,1.1328430311977618,-0.6232319625115877
1998-09-01,-0.809173593712687,-0.6232319625115877
1998-10-01,-0.809173593712687,1.8803495115840263
1998-11-01,-0.809173593712687,1.573485525138161
1998-12-01,-0.67700320038633,-0.6479058044686546
1999-01-01,-0.67700320038633,-0.6479058044686546
1999-02-01,-0.5527707983925666,-0.5527707983925666
1999-03-01,-0.5527707983925666,-0.5527707983925666
1999-04-01,-0.42817441928883765,-0.5527707983925666
1999-05-01,-0.42817441928883765,-0.5527707983925666
1999-06-01,-0.28867513459481287,0.7356389458386077
1999-07-01,-0.28867513459481287,-0.5254563898847199
1999-08-01,,-0.5254563898847199
1999-09-01,,-0.5254563898847199
1999-10-01,,-0.4021998332699218
1999-11-01,,2.140872096444187
1999-12-01,,-0.4281744192888374
2000-01-01,,-0.4281744192888374
2000-02-01,3.1754264805429417,-0.4281744192888374
2000-03-01,-0.28867513459481287,-0.4281744192888374
2000-04-01,2.1408720964441885,1.6583123951776995
2000-05-01,-0.42817441928883765,1.3540064007726598
2000-06-01,1.6583123951777,1.3540064007726598
2000-07-01,1.3540064007726602,-0.6770032003863298
2000-08-01,1.1328430311977618,-0.6770032003863298
2000-09-01,-0.809173593712687,-0.6770032003863298
2000-10-01,2.1189886725393987,-0.6770032003863298
2000-11-01,-0.872524747516223,-0.5527707983925665
2000-12-01,-0.872524747516223,1.3540064007726598
2001-01-01,-0.872524747516223,-0.6770032003863298
2001-02-01,-0.7416198487095663,1.1328430311977615
2001-03-01,-0.7416198487095663,0.9574271077563379
2001-04-01,-0.6232319625115879,0.9574271077563379
2001-05-01,-0.6232319625115879,-0.8091735937126868
2001-06-01,-0.511766315719159,2.8867513459481287
2001-07-01,-0.40219983326992187,1.58866672643905
2001-08-01,-0.28867513459481287,0.6990133596331819
2001-09-01,-0.28867513459481287,-0.1315127274611729
2001-10-01,,-0.20568833780186058
2001-11-01,,2.5931746388122674
2001-12-01,,0.042189279148628536
2002-01-01,,-0.9703534204184573
2002-02-01,,0.4640820706349142
2002-03-01,,-0.08563488385776744
2002-04-01,,-0.13069332554348329
2002-05-01,,-0.23386687494151123
2002-06-01,,-1.1372183665607234
2002-07-01,,-0.9654391897637326
2002-08-01,,0.08776719906943027
2002-09-01,,-0.4388359953471511
2002-10-01,,0.044304442830628996
2002-11-01,,1.8956089610817242
2002-12-01,,2.275185835978084
2003-01-01,,-0.6461928034752883
2003-02-01,,-0.5467785260175516
2003-03-01,,1.0757876247309524
2003-04-01,,-0.046773374988302356
2003-05-01,,-0.5527707983925667
2003-06-01,,0.4380187953915666
2003-07-01,,-0.2663633465860885
2003-08-01,,-0.2663633465860885
2003-09-01,,-0.9056353783927011
2003-10-01,,-0.8259361613561057
2003-11-01,,0.4855041562276123
2003-12-01,,-0.8091735937126872
2004-01-01,,-1.5375418978744284
2004-02-01,,0.9302990048157993
2004-03-01,3.175426480542943,-0.6770032003863303
2004-04-01,2.815398832889453,-0.5855555636027703
2004-05-01,1.9967342815619353,-1.3797993165117004
2004-06-01,0.6267831705280088,0.5855555636027703
2004-07-01,2.132115936657043,-1.1845088536983577
2004-08-01,0.16183471874253735,-0.16183471874253755
2004-09-01,-0.809173593712687,-0.9997311466546387
2004-10-01,-0.809173593712687,-0.0769023958965106
2004-11-01,0.9574271077563381,-0.8889487527734499
2004-12-01,0.8091735937126869,-0.7769546554242188
2005-01-01,0.67700320038633,-0.7769546554242188
2005-02-01,-1.3540064007726598,-0.7416198487095672
2005-03-01,0.58555556360277,-0.6232319625115886
2005-04-01,2.3221018200641192,0.8725247475162239
2005-05-01,1.3661866137002718,-0.6232319625115886
2005-06-01,-0.5254563898847198,1.3540064007726633
2005-07-01,0.16183471874253738,-0.6770032003863315
2005-08-01,0.10910894511799624,-0.5527707983925682
2005-09-01,-1.2001983962979579,-0.5527707983925682
2005-10-01,-1.2001983962979579,-0.4281744192888392
2005-11-01,1.6370681245905792,-0.4281744192888392
2005-12-01,-0.5527707983925666,-0.4281744192888392
2006-01-01,0.0,-0.4281744192888392
2006-02-01,0.4380187953915664,-0.4281744192888392
2006-03-01,-0.14600626513052214,-0.4281744192888392
2006-04-01,0.0,-0.2886751345948148
2006-05-01,-0.5527707983925664,-0.2886751345948148
2006-06-01,-0.5527707983925664,
2006-07-01,0.18425693279752214,
2006-08-01,-0.48637345711391994,
2006-09-01,-1.2159336427847998,
2006-10-01,-1.2159336427847998,
2006-11-01,-1.2949244257070294,
2006-12-01,-1.132843031197761,3.175426480542963
2007-01-01,-0.9574271077563373,-0.2886751345948148
2007-02-01,0.19963735237617233,2.815398832889457
2007-03-01,0.33166247903553947,-0.4021998332699225
